,Date,Close
0,1999-05-05,-1.2621719008016588
1,1999-05-06,-1.2900930276253801
2,1999-05-07,-1.1446092615438845
3,1999-05-10,-1.2254335760336044
4,1999-05-11,-1.2269031090243265
5,1999-05-12,-1.1593045914511064
6,1999-05-13,-1.1666522564047173
7,1999-05-14,-1.237189839959382
8,1999-05-17,-1.2739281647274363
9,1999-05-18,-1.2739281647274363
10,1999-05-19,-1.2577633018294923
11,1999-05-20,-1.279806296690325
12,1999-05-21,-1.3003797585604355
13,1999-05-24,-1.3518134132357118
14,1999-05-25,-1.3709173421151
15,1999-05-26,-1.3341790173470456
16,1999-05-27,-1.2945016265975469
17,1999-05-28,-1.2900930276253801
18,1999-06-01,-1.3782650070687108
19,1999-06-02,-1.4003080019295435
20,1999-06-03,-1.3914908039852105
21,1999-06-04,-1.3503438802449894
22,1999-06-07,-1.33711808332849
23,1999-06-08,-1.3885517380037662
24,1999-06-09,-1.347404814263545
25,1999-06-10,-1.3973689359480992
26,1999-06-11,-1.4003080019295435
27,1999-06-14,-1.4473330576326533
28,1999-06-15,-1.412064265855321
29,1999-06-16,-1.353282946226434
30,1999-06-17,-1.3591610781893226
31,1999-06-18,-1.3635696771614891
32,1999-06-21,-1.2533547028573258
33,1999-06-22,-1.288623494634658
34,1999-06-23,-1.3591610781893226
35,1999-06-24,-1.3576915451986005
36,1999-06-25,-1.329770418374879
37,1999-06-28,-1.3224227534212682
38,1999-06-29,-1.2945016265975469
39,1999-06-30,-1.18869525126555
40,1999-07-01,-1.22249451005216
41,1999-07-02,-1.2195554440707157
42,1999-07-06,-1.2298421750057709
43,1999-07-07,-1.288623494634658
44,1999-07-08,-1.3062578905233242
45,1999-07-09,-1.3062578905233242
46,1999-07-12,-1.279806296690325
47,1999-07-13,-1.2915625606161023
48,1999-07-14,-1.2974406925789912
49,1999-07-15,-1.2900930276253801
50,1999-07-16,-1.2871539616439358
51,1999-07-19,-1.254824235848048
52,1999-07-20,-1.2856844286532136
53,1999-07-21,-1.2915625606161023
54,1999-07-22,-1.3238922864119904
55,1999-07-23,-1.3812040730501554
56,1999-07-26,-1.4003080019295435
57,1999-07-27,-1.347404814263545
58,1999-07-28,-1.3341790173470456
59,1999-07-29,-1.3591610781893226
60,1999-07-30,-1.3753259410872665
61,1999-08-02,-1.410594732864599
62,1999-08-03,-1.4576197885677085
63,1999-08-04,-1.4767237174470969
64,1999-08-05,-1.4943581133357628
65,1999-08-06,-1.5648956968904275
66,1999-08-09,-1.5751824278254827
67,1999-08-10,-1.5472613010017613
68,1999-08-11,-1.4414549256697646
69,1999-08-12,-1.4605588545491528
70,1999-08-13,-1.4032470679109879
71,1999-08-16,-1.4091251998738767
72,1999-08-17,-1.4061861338924322
73,1999-08-18,-1.4223509967903762
74,1999-08-19,-1.4399853926790425
75,1999-08-20,-1.4223509967903762
76,1999-08-23,-1.3914908039852105
77,1999-08-24,-1.395899402957377
78,1999-08-25,-1.3826736060408775
79,1999-08-26,-1.412064265855321
80,1999-08-27,-1.4399853926790425
81,1999-08-30,-1.4928885803450407
82,1999-08-31,-1.4811323164192634
83,1999-09-01,-1.469376052493486
84,1999-09-02,-1.4943581133357628
85,1999-09-03,-1.4032470679109879
86,1999-09-07,-1.4179423978182097
87,1999-09-08,-1.4164728648274876
88,1999-09-09,-1.4355767937068757
89,1999-09-10,-1.403981834406349
90,1999-09-13,-1.4267595957625427
91,1999-09-14,-1.4914190473543185
92,1999-09-15,-1.5164011081965956
93,1999-09-16,-1.5310964381038175
94,1999-09-17,-1.4752541844563747
95,1999-09-20,-1.4590893215584306
96,1999-09-21,-1.4972971793172074
97,1999-09-22,-1.4458635246419311
98,1999-09-23,-1.4576197885677085
99,1999-09-24,-1.4311681947347092
100,1999-09-27,-1.4399853926790425
101,1999-09-28,-1.4238205297810984
102,1999-09-29,-1.4429244586604868
103,1999-09-30,-1.453211189595542
104,1999-10-01,-1.4958276463264852
105,1999-10-04,-1.437046326697598
106,1999-10-05,-1.4238205297810984
107,1999-10-06,-1.3826736060408775
108,1999-10-07,-1.4017775349202657
109,1999-10-08,-1.3841431390315997
110,1999-10-11,-1.3900212709944884
111,1999-10-12,-1.4076556668831544
