Date,Open,High,Low,Close,Adj Close,Volume
2000-05-25,80.500000,83.375000,71.937500,73.000000,54.444668,4030100
2000-05-26,73.125000,73.375000,69.375000,69.812500,52.067356,2378100
2000-05-30,71.500000,73.437500,70.625000,72.000000,53.698849,2205300
2000-05-31,72.000000,74.875000,71.125000,73.562500,54.864174,1363800
2000-06-01,74.562500,77.687500,73.625000,76.375000,56.961792,1684900
2000-06-02,84.500000,87.250000,83.500000,86.875000,64.792854,3567900
2000-06-05,86.875000,87.875000,84.500000,84.500000,63.021572,1576600
2000-06-06,84.000000,85.125000,81.750000,83.125000,61.996098,1033200
2000-06-07,82.875000,88.000000,82.375000,86.687500,64.653030,1319900
2000-06-08,86.875000,87.625000,85.062500,85.062500,63.441078,1255000
2000-06-09,85.125000,86.562500,83.250000,83.250000,62.089264,1006800
2000-06-12,83.312500,84.312500,81.750000,83.312500,62.135921,732800
2000-06-13,83.500000,85.750000,82.625000,85.125000,63.487720,773200
2000-06-14,85.187500,90.375000,84.812500,89.937500,67.076942,1953600
2000-06-15,89.937500,90.812500,87.000000,90.250000,67.310005,2120900
2000-06-16,90.250000,91.437500,87.625000,89.937500,67.076942,1792300
2000-06-19,90.187500,93.000000,89.500000,91.625000,68.335503,2092900
2000-06-20,91.500000,93.437500,87.375000,89.000000,66.377731,2362600
2000-06-21,88.000000,88.375000,84.250000,86.625000,64.606407,2875200
2000-06-22,86.625000,86.625000,82.000000,84.250000,62.835094,1480100
2000-06-23,85.250000,87.000000,84.000000,86.000000,64.140297,1616700
2000-06-26,86.750000,88.000000,85.750000,87.750000,65.445465,1175700
2000-06-27,87.750000,89.375000,87.625000,88.312500,65.864990,1175700
2000-06-28,88.000000,90.937500,88.000000,89.875000,67.030289,1180400
2000-06-29,90.125000,93.125000,88.312500,92.625000,69.081345,1385400
2000-06-30,93.000000,95.937500,92.562500,94.781250,70.689507,2540600
2000-07-03,94.375000,94.937500,93.437500,94.937500,70.806023,453100
2000-07-05,94.375000,97.000000,93.875000,95.937500,71.551849,1077000
2000-07-06,90.000000,94.000000,88.375000,93.187500,69.500824,3343100
2000-07-07,93.187500,95.250000,90.937500,94.937500,70.806023,1265600
2000-07-10,94.875000,98.875000,93.812500,97.687500,72.856995,1498700
2000-07-11,97.562500,99.187500,97.062500,98.500000,73.462990,1249100
2000-07-12,100.125000,104.250000,100.125000,101.937500,76.026741,2751000
2000-07-13,100.500000,104.250000,99.500000,104.250000,77.751457,2207300
2000-07-14,104.250000,105.250000,102.875000,104.187500,77.704826,1143000
2000-07-17,104.062500,104.125000,100.000000,100.000000,74.581718,1225000
2000-07-18,102.000000,104.250000,101.125000,103.875000,77.471756,2449700
2000-07-19,103.187500,103.562500,100.312500,100.750000,75.141090,874200
2000-07-20,101.000000,104.937500,101.000000,103.687500,77.424126,1027700
2000-07-21,103.625000,105.687500,102.812500,104.250000,77.844139,1155300
2000-07-24,104.750000,106.937500,102.750000,105.375000,78.684204,1457700
2000-07-25,105.750000,106.750000,103.687500,106.000000,79.150917,1092500
2000-07-26,105.625000,105.937500,102.750000,105.937500,79.104240,1247400
2000-07-27,105.750000,106.375000,99.875000,100.000000,74.670647,1299100
2000-07-28,100.125000,101.062500,95.937500,98.500000,73.550598,1370800
2000-07-31,96.000000,98.937500,94.500000,98.687500,73.690605,1734100
2000-08-01,99.000000,102.250000,97.000000,100.625000,75.137352,1990600
2000-08-02,99.250000,102.937500,99.250000,102.125000,76.257431,13171500
2000-08-03,101.625000,105.625000,100.500000,105.625000,78.870880,2700200
2000-08-04,109.000000,112.937500,108.000000,111.250000,83.071114,3709300
2000-08-07,111.500000,115.000000,109.750000,114.062500,85.171211,2457700
2000-08-08,114.062500,115.312500,112.812500,113.000000,84.377869,1984600
2000-08-09,113.000000,116.750000,111.875000,114.937500,85.824585,1488800
2000-08-10,115.375000,116.750000,111.375000,112.000000,83.631126,1188900
2000-08-11,111.750000,119.875000,111.750000,119.875000,89.511421,1489600
2000-08-14,118.000000,121.750000,116.625000,120.750000,90.164795,2121700
2000-08-15,120.812500,120.812500,117.750000,118.187500,88.251411,1548900
2000-08-16,117.000000,118.375000,111.625000,113.000000,84.377869,2521000
2000-08-17,113.062500,118.875000,113.062500,118.625000,88.578102,1780400
2000-08-18,118.875000,119.000000,116.000000,117.000000,87.364677,853900
2000-08-21,116.937500,118.750000,116.250000,117.812500,87.971382,1082000
2000-08-22,117.937500,121.500000,117.750000,119.875000,89.511421,2178800
2000-08-23,119.750000,119.750000,118.062500,119.000000,88.858055,1650600
2000-08-24,119.062500,120.875000,117.937500,118.250000,88.298065,1049600
2000-08-25,118.500000,120.187500,117.125000,119.375000,89.138069,984200
2000-08-28,118.250000,124.500000,118.250000,122.437500,91.424911,1422700
2000-08-29,121.500000,127.437500,121.375000,127.437500,95.158417,2495500
2000-08-30,125.500000,126.500000,123.125000,123.687500,92.358276,2136000
2000-08-31,124.500000,129.500000,123.875000,129.500000,96.698524,1394100
2000-09-01,128.000000,129.812500,127.125000,129.625000,96.791855,993800
2000-09-05,128.687500,130.062500,127.187500,128.812500,96.185135,1184400
2000-09-06,128.687500,132.875000,127.500000,128.125000,95.671753,2104200
2000-09-07,127.875000,129.500000,125.937500,128.687500,96.091827,1046800
2000-09-08,127.500000,129.187500,124.000000,124.250000,92.778259,1358800
2000-09-11,127.000000,132.437500,126.312500,132.000000,98.565300,2718400
2000-09-12,132.312500,133.625000,129.687500,131.312500,98.051926,1905100
2000-09-13,129.250000,130.750000,127.375000,128.500000,95.951813,1437400
2000-09-14,129.375000,131.750000,128.687500,129.000000,96.325142,1278100
2000-09-15,128.000000,128.125000,124.312500,124.875000,93.245003,1441100
2000-09-18,124.000000,124.125000,117.750000,118.562500,88.531395,2410400
2000-09-19,118.562500,121.437500,115.312500,119.937500,89.558090,3284700
2000-09-20,121.500000,122.937500,114.937500,118.000000,88.111343,2067500
2000-09-21,114.000000,114.312500,111.250000,113.250000,84.564514,2324000
2000-09-22,110.000000,115.500000,109.500000,114.875000,85.777924,2382900
2000-09-25,116.125000,118.687500,116.062500,116.500000,86.991333,1337900
2000-09-26,115.125000,115.625000,109.500000,110.875000,82.791084,2032900
2000-09-27,111.000000,111.750000,105.750000,107.062500,79.944290,2008800
2000-09-28,107.000000,114.562500,107.000000,113.000000,84.377869,1891700
2000-09-29,111.500000,117.250000,111.437500,114.062500,85.171211,2193700
2000-10-02,113.125000,116.875000,113.125000,115.375000,86.151299,1258700
2000-10-03,115.625000,116.875000,113.000000,113.875000,85.031258,1502600
2000-10-04,113.500000,113.562500,108.625000,109.437500,81.717690,1757900
2000-10-05,109.750000,115.937500,109.750000,114.875000,85.777924,1853900
2000-10-06,113.375000,113.625000,105.437500,108.875000,81.297676,3625100
2000-10-09,107.000000,107.625000,103.687500,105.250000,78.590889,1612200
2000-10-10,105.312500,105.750000,100.000000,102.687500,76.677429,2744500
2000-10-11,99.500000,106.000000,96.562500,104.000000,77.657501,5509500
2000-10-12,104.000000,104.000000,94.062500,94.312500,70.423782,3723100
2000-10-13,94.312500,102.000000,94.312500,101.500000,75.790733,2798700
2000-10-16,99.750000,106.062500,98.500000,103.625000,77.377487,3475400
2000-10-17,103.375000,103.812500,96.250000,99.250000,74.110649,2111700
2000-10-18,95.500000,101.437500,91.875000,98.000000,73.177216,4426400
2000-10-19,101.750000,104.437500,99.750000,100.562500,75.182762,2322600
2000-10-20,100.562500,106.312500,99.750000,104.937500,78.453629,1707400
2000-10-23,104.687500,105.125000,101.250000,102.437500,76.584511,2019600
2000-10-24,103.625000,106.500000,99.000000,101.125000,75.603302,1904000
2000-10-25,99.375000,100.375000,95.750000,96.187500,71.911911,2166600
2000-10-26,96.187500,98.000000,90.875000,92.937500,69.482117,2352000
2000-10-27,94.000000,95.750000,91.875000,93.000000,69.528847,2097000
2000-10-30,92.750000,98.437500,92.625000,96.500000,72.145554,1803800
2000-10-31,95.500000,101.437500,94.187500,99.812500,74.622032,1863800
2000-11-01,96.750000,97.750000,94.562500,96.687500,72.285721,2094600
2000-11-02,97.625000,100.000000,96.312500,99.250000,74.201492,1505800
2000-11-03,99.250000,101.625000,99.250000,100.437500,75.089302,1658600
2000-11-06,98.375000,99.250000,96.000000,96.062500,71.818451,1927800
2000-11-07,96.062500,97.000000,93.000000,93.750000,70.089630,1756700
2000-11-08,92.500000,93.500000,90.625000,92.437500,69.108322,2051000
2000-11-09,92.000000,93.000000,89.250000,91.875000,68.687744,1845200
2000-11-10,89.000000,91.625000,87.125000,89.187500,66.678551,2604300
2000-11-13,86.375000,87.937500,83.312500,86.375000,64.575882,3201700
2000-11-14,90.000000,92.000000,88.250000,88.875000,66.444878,2167100
2000-11-15,87.250000,92.250000,87.062500,90.062500,67.332741,1851400
2000-11-16,90.062500,93.375000,88.875000,91.437500,68.360680,1223400
2000-11-17,91.187500,91.312500,86.500000,88.062500,65.837471,1398800
2000-11-20,88.000000,88.187500,82.750000,83.000000,62.052631,1663000
2000-11-21,82.000000,84.750000,79.625000,84.187500,62.940426,2066800
2000-11-22,82.875000,83.125000,79.250000,79.937500,59.763035,2296900
2000-11-24,80.750000,82.500000,80.687500,81.500000,60.931202,1086200
2000-11-27,82.500000,83.500000,81.062500,82.500000,61.678810,1883700
2000-11-28,83.750000,84.250000,80.500000,80.500000,60.183578,1701300
2000-11-29,81.625000,82.875000,80.125000,82.875000,61.959171,2329300
2000-11-30,81.875000,82.437500,77.000000,82.125000,61.398495,2514000
2000-12-01,82.125000,85.375000,81.687500,82.000000,61.305054,1380900
2000-12-04,80.500000,82.937500,80.250000,81.750000,61.118130,1601500
2000-12-05,84.000000,89.875000,83.375000,88.750000,66.351448,3981000
2000-12-06,87.750000,93.125000,86.187500,87.750000,65.603821,3785000
2000-12-07,87.687500,88.687500,84.625000,85.875000,64.202057,1555400
2000-12-08,88.000000,92.062500,88.000000,91.875000,68.687744,2063500
2000-12-11,91.625000,96.375000,91.375000,96.000000,71.771675,3869700
2000-12-12,95.500000,95.562500,91.750000,92.437500,69.108322,1789200
2000-12-13,93.125000,95.375000,91.812500,94.062500,70.323235,2573500
2000-12-14,91.375000,92.125000,86.625000,87.437500,65.370201,3131400
2000-12-15,87.000000,87.000000,83.875000,86.687500,64.809509,2963100
2000-12-18,89.000000,90.875000,85.875000,85.937500,64.248772,3077600
2000-12-19,87.250000,95.000000,86.500000,89.375000,66.818741,6007800
2000-12-20,87.750000,93.125000,87.750000,90.000000,67.286011,3840500
2000-12-21,90.000000,94.937500,88.687500,93.812500,70.136307,3072000
2000-12-22,95.500000,100.562500,94.062500,98.812500,73.874382,2642900
2000-12-26,98.500000,102.562500,97.375000,101.812500,76.117310,2198000
2000-12-27,100.500000,102.937500,100.000000,101.875000,76.164001,1782500
2000-12-28,101.000000,107.500000,101.000000,107.125000,80.089020,2483600
2000-12-29,107.187500,108.375000,106.312500,106.937500,79.948799,2075000
2001-01-02,104.375000,105.500000,97.500000,100.250000,74.949104,3202400
2001-01-03,100.062500,115.500000,98.875000,115.500000,86.350334,7355200
2001-01-04,113.750000,116.750000,111.000000,112.750000,84.294388,5867200
2001-01-05,109.000000,111.000000,105.750000,107.875000,80.649750,4328600
2001-01-08,106.500000,107.312500,102.625000,106.375000,79.528328,2169500
2001-01-09,107.625000,108.500000,103.312500,104.750000,78.313408,2295200
2001-01-10,102.250000,108.937500,102.250000,108.500000,81.117004,2716200
2001-01-11,108.500000,112.125000,107.500000,110.500000,82.612274,3674000
2001-01-12,110.437500,110.875000,108.750000,108.750000,81.303886,1806000
2001-01-16,108.812500,113.000000,108.062500,110.000000,82.238434,2267800
2001-01-17,109.750000,114.875000,109.312500,110.000000,82.238434,3212700
2001-01-18,109.500000,109.875000,107.250000,107.500000,80.457138,2583900
2001-01-19,108.000000,111.000000,107.812500,110.937500,83.029907,2760600
2001-01-22,110.937500,115.000000,110.875000,113.125000,84.667114,2783800
2001-01-23,114.250000,116.250000,114.000000,116.000000,86.818886,3270900
2001-01-24,115.000000,120.000000,114.000000,117.875000,88.222198,5110600
2001-01-25,117.875000,117.875000,113.125000,113.562500,84.994545,2724100
2001-01-26,113.000000,115.000000,111.562500,114.687500,85.836525,2446000
2001-01-29,114.500000,117.750000,114.500000,115.910004,86.751511,1630200
2001-01-30,116.900002,118.699997,114.059998,118.620003,88.779747,1700000
2001-01-31,118.620003,119.750000,113.080002,113.750000,85.134888,3500600
2001-02-01,114.900002,118.500000,114.500000,118.199997,88.465439,2579800
2001-02-02,117.599998,118.849998,113.949997,113.959999,85.292061,2158900
2001-02-05,113.750000,114.000000,111.250000,112.099998,83.899956,2540100
2001-02-06,112.949997,112.949997,108.349998,108.949997,81.542397,2246600
2001-02-07,109.400002,109.949997,104.080002,105.199997,78.735741,3138200
2001-02-08,105.699997,108.449997,105.300003,105.949997,79.297050,2716600
2001-02-09,105.099998,109.000000,103.099998,107.750000,80.644226,2742100
2001-02-12,107.699997,109.500000,105.500000,109.500000,81.954048,1952500
2001-02-13,109.900002,110.650002,105.000000,105.900002,79.259651,2213400
2001-02-14,106.400002,106.500000,103.389999,104.250000,78.024727,2401000
2001-02-15,105.949997,108.250000,103.699997,107.199997,80.232605,3020000
2001-02-16,104.500000,105.300003,101.300003,101.500000,75.966507,2620200
2001-02-20,102.099998,102.110001,94.349998,96.000000,71.850075,3273600
2001-02-21,96.000000,98.599998,93.610001,94.400002,70.652596,4273900
